Gene ID,C12T1,C12T7,C14T1,C14T9,C23T7,C23T8,C26T10A,C26T9A,C27T10A,C27T9A,C28T7,C28T8,C10T5B,C10T6,C15T11A,C15T9,C16T10,C16T12A,C21T16,C21T7C,C4T11A,C4T12A,C6T10,C6T9,Gene Symbol,Aliases,Entrez ID,Ensembl ID,GO Accession
936756,7.066989,6.3625426,6.7132163,7.9620504,7.7669835,7.040238,7.112958,7.168267,7.428225,7.261057,7.69856,7.908019,7.077438,7.1695986,7.59556,7.0638094,6.796088,7.4476986,6.5248656,7.13095,7.240668,7.4406047,7.141487,6.727224,BSU00300,,936756,,
935949,8.343455,7.968648,7.8079944,8.149438,8.634429,8.129799,8.036388,8.205421,8.199752,8.175599,7.7295837,8.042182,7.358519,7.536264,8.368501,7.837648,8.151066,8.344435,8.04989,7.977561,7.7384934,7.867277,8.198148,8.027885,BSU00310,,935949,,GO:0003887|GO:0006260|GO:0009360
937012,8.32875,8.239384,7.9152446,7.674889,8.245023,7.9685645,7.8832717,7.992094,7.8176775,8.101665,8.131991,8.144698,7.6452103,7.826522,8.1898,7.7957106,8.0708685,8.578991,8.373155,8.020036,7.7680116,7.964003,8.344242,8.238462,BSU00320,,937012,,
937008,7.1477003,7.270667,6.6761193,6.660792,7.3710084,7.289829,7.1048827,7.1489534,6.7827983,7.163083,7.594232,7.418801,6.1618814,6.665006,7.516822,6.696559,7.3384695,7.6957397,6.8055997,7.222113,7.029444,6.8672757,7.3665147,7.2595077,BSU00330,,937008,,
937011,6.0966196,5.3165507,5.056372,1.7287561,5.458336,5.9258723,5.6383114,5.3794527,5.5588703,5.8189406,5.4451866,4.9933147,3.1390002,3.3852167,6.33661,5.552494,6.411563,6.3410616,5.6218195,5.937177,5.3773565,5.049528,6.398197,6.1631722,BSU00340,,937011,,GO:0008168
937002,4.9685807,3.7992537,1.6682304,1.8316113,4.8143234,3.467936,3.824876,4.1803718,4.0546665,4.6055555,3.2367315,3.5072553,2.1390002,1.4104465,5.0179634,2.956987,4.5970635,4.8402243,3.4501977,4.4138875,3.8124206,3.2528183,4.408503,4.663846,BSU00350,,937002,,
937010,6.527118,6.648897,5.3903203,4.2220235,6.6386414,6.4177155,5.872612,6.0956326,6.317285,6.7943387,6.110623,6.0819507,5.460928,5.6106434,6.700798,6.041041,6.990945,6.768973,6.164033,6.6096516,6.274421,6.183014,6.9496517,7.014787,BSU00360,,937010,,GO:0008152|GO:0008757
937009,7.989954,9.19276,6.799007,7.8806295,8.123389,8.06719,9.777134,9.148587,8.351993,7.6747937,8.903133,10.256572,8.866708,8.860949,9.578395,8.572192,8.488399,9.036157,6.5240765,7.4752636,9.370706,9.368728,8.73236,8.73308,BSU00370,,937009,,GO:0003677|GO:0045926
936877,8.916453,9.366016,8.552823,8.982185,8.845753,8.454249,8.854122,8.600981,8.109367,8.505297,9.324771,9.392567,8.49386,8.584889,8.834995,8.833106,9.042973,8.990933,8.774307,8.723177,8.35113,8.492476,9.585556,9.373988,BSU00380,,936877,,GO:0004825|GO:0005737|GO:0006431
936949,5.472869,4.6669564,5.160931,5.429196,5.181629,5.2086806,5.0860047,5.8375134,5.1495776,5.0807557,5.887161,6.0205383,3.7239625,5.4208407,5.0877876,5.264203,5.405029,5.313382,5.310826,5.3059454,5.849793,6.0940223,5.0996222,4.9740987,BSU00390,,936949,,GO:0008152|GO:0016787
